Label,verbs,articles,nouns,pronouns,adjectives,prepositions,particles,conjunctions,unknowns,adverbs,propers,interjections
B121,0.0714285714,0.0714285714,0.2142857143,0.0714285714,0.1428571429,0.0714285714,0.1428571429,0.0714285714,0,0.1428571429,0,0
B122,0.1666666667,0.3333333333,0.3333333333,0,0,0,0.1666666667,0,0,0,0,0
B123,0.2068965517,0.1034482759,0.1724137931,0.1034482759,0.1034482759,0.1034482759,0.0344827586,0.0689655172,0.0344827586,0,0.0689655172,0
B124,0.2,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0
B125,0.1818181818,0.1818181818,0.2424242424,0,0.0909090909,0.1212121212,0.0606060606,0.0303030303,0,0.0606060606,0.0303030303,0
B126,0.2068965517,0.2068965517,0.2413793103,0.1034482759,0.0344827586,0.1034482759,0,0.0344827586,0,0.0344827586,0.0344827586,0
B127,0.2142857143,0.2142857143,0.1428571429,0,0.0714285714,0,0.0714285714,0,0,0.2857142857,0,0
B128,0.4117647059,0.1764705882,0.1764705882,0.0588235294,0,0,0.0588235294,0.0588235294,0,0.0588235294,0,0
B129,0.4285714286,0,0.1428571429,0,0.1428571429,0,0.1428571429,0.1428571429,0,0,0,0
B130,0.3076923077,0.1538461538,0.1538461538,0.0769230769,0.1538461538,0,0.0769230769,0.0769230769,0,0,0,0
B131,0.1764705882,0,0.2352941176,0.0588235294,0.1764705882,0.0588235294,0.0588235294,0,0,0.2352941176,0,0
B132,0.0833333333,0.1666666667,0.1666666667,0.0833333333,0.3333333333,0.0833333333,0,0.0833333333,0,0,0,0
B133,0.1111111111,0.1111111111,0.2222222222,0.1111111111,0.1111111111,0.2222222222,0.1111111111,0,0,0,0,0
B134,0.0714285714,0.2142857143,0.2142857143,0.0714285714,0.1428571429,0.0714285714,0,0.0714285714,0.0714285714,0.0714285714,0,0
B135,0.375,0,0.125,0.125,0.125,0,0,0,0,0.25,0,0
B136,0.2222222222,0.1666666667,0.2222222222,0.0555555556,0.0555555556,0.0555555556,0.0555555556,0.1111111111,0,0,0.0555555556,0
B137,0.3181818182,0.2727272727,0.1363636364,0,0.0454545455,0.0454545455,0.1363636364,0,0,0.0454545455,0,0
B138,0.2,0.12,0.08,0.04,0.12,0.08,0.12,0.08,0.08,0,0.08,0
B139,0.1351351351,0.1351351351,0.1081081081,0.0540540541,0.027027027,0.1081081081,0.1351351351,0.0540540541,0.0810810811,0.027027027,0.1351351351,0
B140,0.15,0.2,0.1,0.05,0.1,0.05,0.15,0.05,0,0.05,0.1,0
B141,0.1538461538,0.1538461538,0.1153846154,0,0.0384615385,0.0769230769,0.0769230769,0.1153846154,0.0769230769,0.0769230769,0.1153846154,0
B142,0.25,0.125,0,0.125,0.125,0.125,0.125,0,0.125,0,0,0
B143,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.125,0,0
B144,0.2857142857,0.1428571429,0.0714285714,0.0714285714,0.0714285714,0,0.0714285714,0.2857142857,0,0,0,0
B145,0.25,0,0,0,0,0,0,0.25,0,0,0.5,0
B146,0.0769230769,0.1538461538,0.0769230769,0.0769230769,0.2307692308,0.1538461538,0.0769230769,0,0,0.0769230769,0.0769230769,0
B147,0.2857142857,0.0476190476,0.0476190476,0.0952380952,0.0476190476,0.0952380952,0.0952380952,0.0952380952,0.1428571429,0,0.0476190476,0
B148,0.25,0.1666666667,0.1666666667,0.0833333333,0.0833333333,0.0833333333,0.0833333333,0,0,0,0.0833333333,0
B149,0.24,0.12,0.24,0.04,0.08,0.08,0,0.04,0.08,0.04,0.04,0
B150,0.1875,0.1875,0.125,0.0625,0.125,0.125,0.0625,0,0.0625,0.0625,0,0
B151,0.1875,0,0.125,0,0.25,0.0625,0.0625,0.125,0,0.125,0.0625,0
